Iteration	Time	TimestepsThisBatch	PoolSize	MaxEpReturn	LastEpReturn	Episodes	TimestepsSoFar
158	2772.028319835663	1000	160000	-68.2043099754192	-74.32035601541003	13243	160000
159	2789.460322856903	1000	161000	-68.2043099754192	-74.51780154464814	13326	161000
160	2806.87233376503	1000	162000	-68.2043099754192	-73.73301184447142	13409	162000
161	2824.276351451874	1000	163000	-68.2043099754192	-73.90886661230789	13492	163000
162	2841.6903636455536	1000	164000	-68.2043099754192	-73.6247025613463	13575	164000
163	2859.1043751239777	1000	165000	-68.2043099754192	-74.21567260351846	13658	165000
164	2876.493401527405	1000	166000	-68.2043099754192	-74.2781822982279	13741	166000
165	2893.889422893524	1000	167000	-68.2043099754192	-74.23761638242242	13824	167000
166	2911.2864446640015	1000	168000	-68.2043099754192	-75.00280981525152	13907	168000
167	2928.676470041275	1000	169000	-68.2043099754192	-74.52380143415706	13990	169000
168	2946.0854852199554	1000	170000	-68.2043099754192	-74.18845398756444	14074	170000
169	2963.5503606796265	1000	171000	-68.2043099754192	-74.65314131649748	14157	171000
170	2981.061232805252	1000	172000	-68.2043099754192	-74.81722115588312	14240	172000
171	2998.4592542648315	1000	173000	-68.2043099754192	-74.66268974335814	14323	173000
172	3016.04612326622	1000	174000	-68.2043099754192	-74.24399517755228	14406	174000
173	3033.5091071128845	1000	175000	-68.2043099754192	-74.2622589071651	14489	175000
174	3051.012067556381	1000	176000	-68.2043099754192	-73.76963640985021	14572	176000
175	3068.5030369758606	1000	177000	-68.2043099754192	-75.04593573411023	14655	177000
176	3086.0379774570465	1000	178000	-68.2043099754192	-74.68472722345878	14738	178000
177	3103.54518699646	1000	179000	-68.2043099754192	-80.68933790923126	14821	179000
178	3121.012167930603	1000	180000	-68.2043099754192	-74.26240780284684	14904	180000
179	3138.4901444911957	1000	181000	-68.2043099754192	-74.76672932188214	14986	181000
180	3155.9821105003357	1000	182000	-68.2043099754192	-74.59199947461289	15070	182000
181	3173.8180825710297	1000	183000	-68.2043099754192	-80.26122841316095	15153	183000
182	3191.384111881256	1000	184000	-68.2043099754192	-74.58865293476376	15236	184000
183	3208.8291068077087	1000	185000	-68.2043099754192	-73.84069822307838	15319	185000
184	3226.441870689392	1000	186000	-68.2043099754192	-80.13447074409254	15402	186000
185	3243.9519407749176	1000	187000	-68.2043099754192	-74.26823265990433	15485	187000
186	3261.4359123706818	1000	188000	-68.2043099754192	-74.68127392226012	15568	188000
187	3278.9880459308624	1000	189000	-68.2043099754192	-74.51878698970542	15651	189000
188	3296.6375062465668	1000	190000	-68.2043099754192	-73.80350914491007	15733	190000
189	3314.2633929252625	1000	191000	-68.2043099754192	-74.46217452211442	15817	191000
190	3331.7853429317474	1000	192000	-68.2043099754192	-74.62991531828249	15900	192000
191	3349.333281517029	1000	193000	-68.2043099754192	-74.09128863571546	15982	193000
192	3366.9431800842285	1000	194000	-68.2043099754192	-74.12074032545854	16066	194000
193	3384.6330320835114	1000	195000	-68.2043099754192	-74.5249472455231	16149	195000
194	3402.0890188217163	1000	196000	-68.2043099754192	-74.7340334058375	16232	196000
195	3419.54300737381	1000	197000	-68.2043099754192	-74.01715140433254	16315	197000
